"","pathway_name","top_level_pathway_name"
"967","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","Developmental Biology"
"968","Sema4D induced cell migration and growth-cone collapse","Developmental Biology"
"969","Senescence-Associated Secretory Phenotype (SASP)","Cellular responses to stimuli"
"970","Sensory Perception","Sensory Perception"
"971","Sensory perception of sweet, bitter, and umami (glutamate) taste","Sensory Perception"
"972","Sensory processing of sound by inner hair cells of the cochlea","Sensory Perception"
"973","Sensory processing of sound by outer hair cells of the cochlea","Sensory Perception"
"974","Separation of Sister Chromatids","Cell Cycle"
"975","Serotonin Neurotransmitter Release Cycle","Neuronal System"
"976","Serotonin receptors","Signal Transduction"
"977","SHC-mediated cascade:FGFR1","Signal Transduction"
"978","SHC-mediated cascade:FGFR2","Signal Transduction"
"979","SHC-mediated cascade:FGFR3","Signal Transduction"
"980","SHC-mediated cascade:FGFR4","Signal Transduction"
"981","SHC1 events in EGFR signaling","Signal Transduction"
"982","SHC1 events in ERBB2 signaling","Signal Transduction"
"983","SHC1 events in ERBB4 signaling","Signal Transduction"
"984","Sialic acid metabolism","Metabolism of proteins"
"985","Signal attenuation","Signal Transduction"
"986","Signal regulatory protein family interactions","Cell-Cell communication"
"987","Signal Transduction","Signal Transduction"
"988","Signal transduction by L1","Developmental Biology"
"989","Signaling by activated point mutants of FGFR1","Disease"
"990","Signaling by activated point mutants of FGFR3","Disease"
"991","Signaling by Activin","Signal Transduction"
"992","Signaling by ALK","Signal Transduction"
"993","Signaling by ALK fusions and activated point mutants","Disease"
"994","Signaling by BMP","Signal Transduction"
"995","Signaling by BRAF and RAF1 fusions","Disease"
"996","Signaling by CSF3 (G-CSF)","Immune System"
"997","Signaling by cytosolic FGFR1 fusion mutants","Disease"
"998","Signaling by EGFR","Signal Transduction"
"999","Signaling by ERBB2","Signal Transduction"
"1000","Signaling by ERBB2 ECD mutants","Disease"
"1001","Signaling by ERBB2 KD Mutants","Disease"
"1002","Signaling by ERBB2 TMD/JMD mutants","Disease"
"1003","Signaling by ERBB4","Signal Transduction"
"1004","Signaling by Erythropoietin","Signal Transduction"
"1005","Signaling by FGFR1 in disease","Disease"
"1006","Signaling by FGFR2 IIIa TM","Disease"
"1007","Signaling by FGFR2 in disease","Disease"
"1008","Signaling by FGFR3 in disease","Disease"
"1009","Signaling by FGFR4 in disease","Disease"
"1010","Signaling by FLT3 fusion proteins","Disease"
"1011","Signaling by FLT3 ITD and TKD mutants","Disease"
"1012","Signaling by GSK3beta mutants","Disease"
"1013","Signaling by high-kinase activity BRAF mutants","Disease"
"1014","Signaling by Hippo","Signal Transduction"
"1015","Signaling by Insulin receptor","Signal Transduction"
"1016","Signaling by Leptin","Signal Transduction"
"1017","Signaling by moderate kinase activity BRAF mutants","Disease"
"1018","Signaling by NODAL","Developmental Biology"
"1019","Signaling by NTRK3 (TRKC)","Signal Transduction"
"1020","Signaling by PDGF","Signal Transduction"
"1021","Signaling by PDGFRA extracellular domain mutants","Disease"
"1022","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","Disease"
"1023","Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","Disease"
"1024","Signaling by RAF1 mutants","Disease"
"1025","Signaling by Retinoic Acid","Signal Transduction"
"1026","Signaling by ROBO receptors","Developmental Biology"
"1027","Signaling by SCF-KIT","Signal Transduction"
"1028","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","Signal Transduction"
"1029","Signaling by VEGF","Signal Transduction"
"1030","Signaling downstream of RAS mutants","Disease"
"1031","Signalling to RAS","Signal Transduction"
"1032","SIRT1 negatively regulates rRNA expression","Gene expression (Transcription)"
"1033","SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs","Metabolism of RNA"
"1034","SLBP independent Processing of Histone Pre-mRNAs","Metabolism of RNA"
"1035","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","Signal Transduction"
"1036","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","Gene expression (Transcription)"
"1037","Smooth Muscle Contraction","Muscle contraction"
"1038","snRNP Assembly","Metabolism of RNA"
"1039","Sphingolipid de novo biosynthesis","Metabolism"
"1040","Spry regulation of FGF signaling","Signal Transduction"
"1041","SRP-dependent cotranslational protein targeting to membrane","Metabolism of proteins"
"1042","Stabilization of p53","Cell Cycle"
"1043","STAT3 nuclear events downstream of ALK signaling","Signal Transduction"
"1044","STAT5 activation downstream of FLT3 ITD mutants","Disease"
"1045","Stimuli-sensing channels","Transport of small molecules"
"1046","STING mediated induction of host immune responses","Immune System"
"1047","STING mediated induction of host immune responses","Immune System"
"1048","Striated Muscle Contraction","Muscle contraction"
"1049","Sulfur amino acid metabolism","Metabolism"
"1050","SUMOylation of chromatin organization proteins","Metabolism of proteins"
"1051","SUMOylation of DNA damage response and repair proteins","Metabolism of proteins"
"1052","SUMOylation of DNA methylation proteins","Metabolism of proteins"
"1053","SUMOylation of DNA replication proteins","Metabolism of proteins"
"1054","SUMOylation of immune response proteins","Metabolism of proteins"
"1055","SUMOylation of intracellular receptors","Metabolism of proteins"
"1056","SUMOylation of RNA binding proteins","Metabolism of proteins"
"1057","SUMOylation of SUMOylation proteins","Metabolism of proteins"
"1058","SUMOylation of transcription cofactors","Metabolism of proteins"
"1059","SUMOylation of transcription factors","Metabolism of proteins"
"1060","SUMOylation of ubiquitinylation proteins","Metabolism of proteins"
"1061","Surfactant metabolism","Metabolism of proteins"
"1062","Switching of origins to a post-replicative state","Cell Cycle"
"1063","Switching of origins to a post-replicative state","DNA Replication"
"1064","Synaptic adhesion-like molecules","Neuronal System"
"1065","Syndecan interactions","Extracellular matrix organization"
"1066","Synthesis of active ubiquitin: roles of E1 and E2 enzymes","Metabolism of proteins"
"1067","Synthesis of bile acids and bile salts","Metabolism"
"1068","Synthesis of bile acids and bile salts via 27-hydroxycholesterol","Metabolism"
"1069","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","Metabolism"
"1070","Synthesis of glycosylphosphatidylinositol (GPI)","Metabolism of proteins"
"1071","Synthesis of IP2, IP, and Ins in the cytosol","Metabolism"
"1072","Synthesis of IP3 and IP4 in the cytosol","Metabolism"
"1073","Synthesis of Leukotrienes (LT) and Eoxins (EX)","Metabolism"
"1074","Synthesis of PA","Metabolism"
"1075","Synthesis of PC","Metabolism"
"1076","Synthesis of PE","Metabolism"
"1077","Synthesis of PIPs at the early endosome membrane","Metabolism"
"1078","Synthesis of PIPs at the Golgi membrane","Metabolism"
"1079","Synthesis of PIPs at the late endosome membrane","Metabolism"
"1080","Synthesis of PIPs at the plasma membrane","Metabolism"
"1081","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)","Metabolism"
"1082","Synthesis of pyrophosphates in the cytosol","Metabolism"
"1083","Synthesis, secretion, and deacylation of Ghrelin","Metabolism of proteins"
"1084","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","Metabolism of proteins"
"1085","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)","Metabolism of proteins"
"1086","TAK1-dependent IKK and NF-kappa-B activation  ","Immune System"
"1087","TAK1-dependent IKK and NF-kappa-B activation  ","Immune System"
"1088","TAK1-dependent IKK and NF-kappa-B activation  ","Immune System"
"1089","Tat-mediated elongation of the HIV-1 transcript","Disease"
"1090","Tat-mediated HIV elongation arrest and recovery","Disease"
"1091","TBC/RABGAPs","Vesicle-mediated transport"
"1092","TCF dependent signaling in response to WNT","Signal Transduction"
"1093","Telomere C-strand (Lagging Strand) Synthesis","Cell Cycle"
"1094","Telomere C-strand synthesis initiation","Cell Cycle"
"1095","Telomere Extension By Telomerase","Cell Cycle"
"1096","Termination of translesion DNA synthesis","DNA Repair"
"1097","Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation","Metabolism"
"1098","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors","Gene expression (Transcription)"
"1099","TGF-beta receptor signaling activates SMADs","Signal Transduction"
"1100","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","Signal Transduction"
"1101","The activation of arylsulfatases","Metabolism of proteins"
"1102","The canonical retinoid cycle in rods (twilight vision)","Sensory Perception"
"1103","The NLRP3 inflammasome","Immune System"
"1104","The role of GTSE1 in G2/M progression after G2 checkpoint","Cell Cycle"
"1105","Thrombin signalling through proteinase activated receptors (PARs)","Hemostasis"
"1106","Thromboxane signalling through TP receptor","Hemostasis"
"1107","Thyroxine biosynthesis","Metabolism"
"1108","TICAM1-dependent activation of IRF3/IRF7","Immune System"
"1109","TICAM1, RIP1-mediated IKK complex recruitment","Immune System"
"1110","TICAM1,TRAF6-dependent induction of TAK1 complex","Immune System"
"1111","Tie2 Signaling","Hemostasis"
"1112","Tight junction interactions","Cell-Cell communication"
"1113","Tight junction interactions","Cell-Cell communication"
"1114","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway","Immune System"
"1115","TNF signaling","Signal Transduction"
"1116","TNFR1-induced proapoptotic signaling","Signal Transduction"
"1117","TNFR2 non-canonical NF-kB pathway","Immune System"
"1118","TNFs bind their physiological receptors","Immune System"
"1119","Toll Like Receptor 10 (TLR10) Cascade","Immune System"
"1120","Toll Like Receptor 3 (TLR3) Cascade","Immune System"
"1121","Toll Like Receptor 4 (TLR4) Cascade","Immune System"
"1122","Toll Like Receptor 5 (TLR5) Cascade","Immune System"
"1123","Toll Like Receptor 7/8 (TLR7/8) Cascade","Immune System"
"1124","Toll Like Receptor 9 (TLR9) Cascade","Immune System"
"1125","Toll Like Receptor TLR1:TLR2 Cascade","Immune System"
"1126","Toll Like Receptor TLR1:TLR2 Cascade","Immune System"
"1127","Toll Like Receptor TLR6:TLR2 Cascade","Immune System"
"1128","TP53 Regulates Metabolic Genes","Gene expression (Transcription)"
"1129","TP53 Regulates Metabolic Genes","Gene expression (Transcription)"
"1130","TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain","Gene expression (Transcription)"
"1131","TP53 Regulates Transcription of Caspase Activators and Caspases","Gene expression (Transcription)"
"1132","TP53 Regulates Transcription of Death Receptors and Ligands","Gene expression (Transcription)"
"1133","TP53 Regulates Transcription of DNA Repair Genes","Gene expression (Transcription)"
"1134","TP53 Regulates Transcription of Genes Involved in Cytochrome C Release","Gene expression (Transcription)"
"1135","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","Gene expression (Transcription)"
"1136","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest","Gene expression (Transcription)"
"1137","TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain","Gene expression (Transcription)"
"1138","TRAF3-dependent IRF activation pathway","Immune System"
"1139","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","Immune System"
"1140","TRAF6 mediated IRF7 activation","Immune System"
"1141","TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling","Immune System"
"1142","TRAF6 mediated NF-kB activation","Immune System"
"1143","TRAF6 mediated NF-kB activation","Immune System"
"1144","TRAF6-mediated induction of TAK1 complex within TLR4 complex","Immune System"
"1145","Trafficking and processing of endosomal TLR","Immune System"
"1146","Trafficking of AMPA receptors","Neuronal System"
"1147","Trafficking of GluR2-containing AMPA receptors","Neuronal System"
"1148","trans-Golgi Network Vesicle Budding","Vesicle-mediated transport"
"1149","Transcription of E2F targets under negative control by DREAM complex","Cell Cycle"
"1150","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","Cell Cycle"
"1151","Transcription of the HIV genome","Disease"
"1152","Transcription of the HIV genome","Disease"
"1153","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","DNA Repair"
"1154","Transcriptional activation of mitochondrial biogenesis","Organelle biogenesis and maintenance"
"1155","Transcriptional Regulation by E2F6","Gene expression (Transcription)"
"1156","Transcriptional Regulation by MECP2","Gene expression (Transcription)"
"1157","Transcriptional regulation by RUNX2","Gene expression (Transcription)"
"1158","Transcriptional regulation by small RNAs","Gene expression (Transcription)"
"1159","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","Gene expression (Transcription)"
"1160","Transcriptional Regulation by VENTX","Gene expression (Transcription)"
"1161","Transcriptional regulation of granulopoiesis","Developmental Biology"
"1162","Transcriptional regulation of pluripotent stem cells","Developmental Biology"
"1163","Transcriptional regulation of testis differentiation","Developmental Biology"
"1164","Transcriptional regulation of white adipocyte differentiation","Developmental Biology"
"1165","Transferrin endocytosis and recycling","Transport of small molecules"
"1166","Translation initiation complex formation","Metabolism of proteins"
"1167","Translation of Replicase and Assembly of the Replication Transcription Complex","Disease"
"1168","Translation of Replicase and Assembly of the Replication Transcription Complex","Disease"
"1169","Translesion Synthesis by POLH","DNA Repair"
"1170","Translesion synthesis by POLI","DNA Repair"
"1171","Translesion synthesis by POLK","DNA Repair"
"1172","Translesion synthesis by REV1","DNA Repair"
"1173","Translocation of SLC2A4 (GLUT4) to the plasma membrane","Vesicle-mediated transport"
"1174","Translocation of ZAP-70 to Immunological synapse","Immune System"
"1175","Transport of connexons to the plasma membrane","Vesicle-mediated transport"
"1176","Transport of Mature mRNA derived from an Intron-Containing Transcript","Metabolism of RNA"
"1177","Transport of Mature mRNA Derived from an Intronless Transcript","Metabolism of RNA"
"1178","Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane","Transport of small molecules"
"1179","Transport of Ribonucleoproteins into the Host Nucleus","Disease"
"1180","Transport of Ribonucleoproteins into the Host Nucleus","Disease"
"1181","Transport of small molecules","Transport of small molecules"
"1182","Transport of the SLBP Dependant Mature mRNA","Metabolism of RNA"
"1183","Transport of the SLBP independent Mature mRNA","Metabolism of RNA"
"1184","Transport of vitamins, nucleosides, and related molecules","Transport of small molecules"
"1185","Transport to the Golgi and subsequent modification","Metabolism of proteins"
"1186","TRIF-mediated programmed cell death","Immune System"
"1187","Triglyceride biosynthesis","Metabolism"
"1188","Triglyceride catabolism","Metabolism"
"1189","Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA","Metabolism of RNA"
"1190","tRNA modification in the nucleus and cytosol","Metabolism of RNA"
"1191","tRNA processing in the nucleus","Metabolism of RNA"
"1192","TRP channels","Transport of small molecules"
"1193","Truncations of AMER1 destabilize the destruction complex","Disease"
"1194","Tryptophan catabolism","Metabolism"
"1195","Type I hemidesmosome assembly","Cell-Cell communication"
"1196","Ub-specific processing proteases","Metabolism of proteins"
"1197","Ubiquitin-dependent degradation of Cyclin D","Cell Cycle"
"1198","UCH proteinases","Metabolism of proteins"
"1199","Unblocking of NMDA receptors, glutamate binding and activation","Neuronal System"
"1200","Unwinding of DNA","Cell Cycle"
"1201","Unwinding of DNA","DNA Replication"
"1202","Uptake and function of anthrax toxins","Disease"
"1203","Uptake and function of anthrax toxins","Disease"
"1204","Uptake of dietary cobalamins into enterocytes","Metabolism"
"1205","Uptake of dietary cobalamins into enterocytes","Metabolism"
"1206","Urea cycle","Metabolism"
"1207","Vasopressin regulates renal water homeostasis via Aquaporins","Transport of small molecules"
"1208","VEGFA-VEGFR2 Pathway","Signal Transduction"
"1209","VEGFR2 mediated cell proliferation","Signal Transduction"
"1210","VEGFR2 mediated vascular permeability","Signal Transduction"
"1211","VEGFR2 mediated vascular permeability","Signal Transduction"
"1212","Vesicle-mediated transport","Vesicle-mediated transport"
"1213","Vif-mediated degradation of APOBEC3G","Disease"
"1214","Viral Messenger RNA Synthesis","Disease"
"1215","Viral Messenger RNA Synthesis","Disease"
"1216","Viral mRNA Translation","Disease"
"1217","Viral mRNA Translation","Disease"
"1218","Vitamin B5 (pantothenate) metabolism","Metabolism"
"1219","Vitamin D (calciferol) metabolism","Metabolism"
"1220","VLDLR internalisation and degradation","Transport of small molecules"
"1221","Voltage gated Potassium channels","Neuronal System"
"1222","Vpr-mediated nuclear import of PICs","Disease"
"1223","Vpr-mediated nuclear import of PICs","Disease"
"1224","Vpu mediated degradation of CD4","Disease"
"1225","VxPx cargo-targeting to cilium","Organelle biogenesis and maintenance"
"1226","WNT ligand biogenesis and trafficking","Signal Transduction"
"1227","WNT5:FZD7-mediated leishmania damping","Disease"
"1228","WNT5A-dependent internalization of FZD2, FZD5 and ROR2","Signal Transduction"
"1229","WNT5A-dependent internalization of FZD4","Signal Transduction"
"1230","Xenobiotics","Metabolism"
"1231","YAP1- and WWTR1 (TAZ)-stimulated gene expression","Gene expression (Transcription)"
"1232","ZBP1(DAI) mediated induction of type I IFNs","Immune System"
"1233","A tetrasaccharide linker sequence is required for GAG synthesis","Metabolism"
"1234","Abacavir ADME","Drug ADME"
"1235","ABC transporter disorders","Transport of small molecules"
"1236","Aberrant regulation of mitotic cell cycle due to RB1 defects","Disease"
"1237","Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Disease"
"1238","Acetylcholine binding and downstream events","Neuronal System"
"1239","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","Cell Cycle"
"1240","Activation of BH3-only proteins","Immune System"
"1241","Activation of GABAB receptors","Neuronal System"
"1242","Activation of HOX genes during differentiation","Developmental Biology"
"1243","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon","Immune System"
"1244","Activation of kainate receptors upon glutamate binding","Neuronal System"
"1245","Activation of NMDA receptors and postsynaptic events","Neuronal System"
"1246","Adaptive Immune System","Immune System"
"1247","AKT phosphorylates targets in the cytosol","Signal Transduction"
"1248","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism","Metabolism"
"1249","Amplification of signal from the kinetochores","Cell Cycle"
"1250","Anti-inflammatory response favouring Leishmania parasite infection","Disease"
"1251","Antigen processing-Cross presentation","Immune System"
"1252","Antiviral mechanism by IFN-stimulated genes","Disease"
"1253","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","Cell Cycle"
"1254","APC/C-mediated degradation of cell cycle proteins","Cell Cycle"
"1255","Apoptosis","Programmed Cell Death"
"1256","Aquaporin-mediated transport","Transport of small molecules"
"1257","Arachidonic acid metabolism","Metabolism"
"1258","Axon guidance","Signal Transduction"
"1259","Base Excision Repair","DNA Repair"
"1260","Base-Excision Repair, AP Site Formation","DNA Repair"
"1261","Beta-catenin independent WNT signaling","Signal Transduction"
"1262","Bicarbonate transporters","Metabolism"
"1263","Bile acid and bile salt metabolism","Metabolism"
"1264","Binding and Uptake of Ligands by Scavenger Receptors","Vesicle-mediated transport"
"1265","Biological oxidations","Cellular responses to stimuli"
"1266","Biosynthesis of specialized proresolving mediators (SPMs)","Immune System"
"1267","Blood group systems biosynthesis","Metabolism"
"1268","BMAL1:CLOCK,NPAS2 activates circadian gene expression","Gene expression (Transcription)"
"1269","C-type lectin receptors (CLRs)","Signal Transduction"
"1270","Ca-dependent events","Signal Transduction"
"1271","Cap-dependent Translation Initiation","Metabolism of proteins"
"1272","Cardiac conduction","Transport of small molecules"
"1273","Carnitine metabolism","Metabolism"
"1274","Caspase activation via extrinsic apoptotic signalling pathway","Programmed Cell Death"
"1275","CD28 co-stimulation","Immune System"
"1276","Cell Cycle Checkpoints","Cell Cycle"
"1277","Cell Cycle, Mitotic","Cell Cycle"
"1278","Cell death signalling via NRAGE, NRIF and NADE","Signal Transduction"
"1279","Cell junction organization","Cell-Cell communication"
"1280","Cell recruitment (pro-inflammatory response)","Extracellular matrix organization"
"1281","Cell-cell junction organization","Cell-Cell communication"
"1282","Cellular response to chemical stress","Cellular responses to stimuli"
"1283","Cellular response to heat stress","Cellular responses to stimuli"
"1284","Cellular response to starvation","Cellular responses to stimuli"
"1285","Cellular responses to stress","Cellular responses to stimuli"
"1286","Cellular Senescence","Cellular responses to stimuli"
"1287","Centrosome maturation","Cell Cycle"
"1288","Chaperonin-mediated protein folding","Metabolism of proteins"
"1289","Chondroitin sulfate biosynthesis","Metabolism"
"1290","Chondroitin sulfate/dermatan sulfate metabolism","Metabolism"
"1291","Chromosome Maintenance","Chromatin organization"
"1292","Cilium Assembly","Organelle biogenesis and maintenance"
"1293","Circadian Clock","Sensory Perception"
"1294","Class I MHC mediated antigen processing & presentation","Immune System"
"1295","Cobalamin (Cbl, vitamin B12) transport and metabolism","Metabolism"
"1296","Collagen formation","Extracellular matrix organization"
"1297","Complement cascade","Immune System"
"1298","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","Metabolism of proteins"
"1299","Costimulation by the CD28 family","Immune System"
"1300","Creation of C4 and C2 activators","Signal Transduction"
"1301","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling","Neuronal System"
"1302","CTLA4 inhibitory signaling","Signal Transduction"
"1303","CYP2E1 reactions","Signal Transduction"
"1304","Cytochrome c-mediated apoptotic response","Programmed Cell Death"
"1305","Cytokine Signaling in Immune system","Immune System"
"1306","Deadenylation-dependent mRNA decay","Metabolism of RNA"
"1307","Death Receptor Signalling","Programmed Cell Death"
"1308","Defective B3GALT6 causes EDSP2 and SEMDJL1","Disease"
"1309","Defective B3GALTL causes PpS","Disease"
"1310","Defective B4GALT7 causes EDS, progeroid type","Disease"
"1311","Defective GALNT12 causes CRCS1","Disease"
"1312","Defective GALNT3 causes HFTC","Disease"
"1313","Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function","Disease"
"1314","Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function","Disease"
"1315","Defective homologous recombination repair (HRR) due to BRCA2 loss of function","Disease"
"1316","Defective Intrinsic Pathway for Apoptosis","Programmed Cell Death"
"1317","Defects in cobalamin (B12) metabolism","Metabolism"
"1318","Defects in vitamin and cofactor metabolism","Transport of small molecules"
"1319","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)","Cell Cycle"
"1320","Depolymerisation of the Nuclear Lamina","Cell Cycle"
"1321","Depurination","Cellular responses to stimuli"
"1322","Depyrimidination","Metabolism"
"1323","Dermatan sulfate biosynthesis","Metabolism"
"1324","Deubiquitination","Cell Cycle"
"1325","Diseases associated with glycosaminoglycan metabolism","Metabolism of proteins"
"1326","Diseases associated with glycosylation precursor biosynthesis","Immune System"
"1327","Diseases associated with N-glycosylation of proteins","Metabolism of proteins"
"1328","Diseases associated with O-glycosylation of proteins","Metabolism of proteins"
"1329","Diseases associated with the TLR signaling cascade","Immune System"
"1330","Diseases associated with visual transduction","Signal Transduction"
"1331","Diseases of carbohydrate metabolism","Digestion and absorption"
"1332","Diseases of DNA Double-Strand Break Repair","DNA Repair"
"1333","Diseases of DNA repair","DNA Repair"
"1334","Diseases of glycosylation","Metabolism of proteins"
"1335","Diseases of hemostasis","Hemostasis"
"1336","Diseases of Immune System","Immune System"
"1337","Diseases of metabolism","Metabolism of proteins"
"1338","Diseases of mitotic cell cycle","Cell Cycle"
"1339","Diseases of programmed cell death","Programmed Cell Death"
"1340","Diseases of signal transduction by growth factor receptors and second messengers","Disease"
"1341","Diseases of the neuronal system","Neuronal System"
"1342","Disorders of Developmental Biology","Developmental Biology"
"1343","Disorders of Nervous System Development","Developmental Biology"
"1344","Disorders of transmembrane transporters","Vesicle-mediated transport"
"1345","DNA Damage Bypass","DNA Repair"
"1346","DNA Double Strand Break Response","DNA Repair"
"1347","DNA Double-Strand Break Repair","DNA Repair"
"1348","DNA Replication Pre-Initiation","DNA Replication"
"1349","DNA strand elongation","DNA Replication"
"1350","Downstream signaling events of B Cell Receptor (BCR)","Immune System"
"1351","Downstream signaling of activated FGFR2","Signal Transduction"
"1352","Downstream signaling of activated FGFR3","Signal Transduction"
"1353","Downstream signaling of activated FGFR4","Signal Transduction"
"1354","E2F mediated regulation of DNA replication","DNA Replication"
"1355","Early SARS-CoV-2 Infection Events","Disease"
"1356","Eicosanoids","Signal Transduction"
"1357","Epigenetic regulation of gene expression","Cellular responses to stimuli"
"1358","ER to Golgi Anterograde Transport","Metabolism of proteins"
"1359","Eukaryotic Translation Initiation","Metabolism of proteins"
"1360","Export of Viral Ribonucleoproteins from Nucleus","Disease"
"1361","Extension of Telomeres","Cell Cycle"
"1362","Fatty acid metabolism","Metabolism"
"1363","Fatty acids","Metabolism"
"1364","Fcgamma receptor (FCGR) dependent phagocytosis","Disease"
"1365","Fertilization","Reproduction"
"1366","FGFR1 ligand binding and activation","Signal Transduction"
"1367","FGFR1 mutant receptor activation","Disease"
"1368","FGFR2 ligand binding and activation","Signal Transduction"
"1369","FGFR2 mutant receptor activation","Disease"
"1370","FGFR3 ligand binding and activation","Signal Transduction"
"1371","FGFR3 mutant receptor activation","Disease"
"1372","FLT3 signaling in disease","Immune System"
"1373","Formation of Fibrin Clot (Clotting Cascade)","Hemostasis"
"1374","FOXO-mediated transcription","Gene expression (Transcription)"
"1375","Free fatty acids regulate insulin secretion","Metabolism"
"1376","G protein gated Potassium channels","Neuronal System"
"1377","G-protein beta:gamma signalling","Signal Transduction"
"1378","G-protein mediated events","Signal Transduction"
"1379","G1 Phase","Cell Cycle"
"1380","G1/S DNA Damage Checkpoints","Cell Cycle"
"1381","G1/S Transition","Cell Cycle"
"1382","G2/M Transition","Cell Cycle"
"1383","Gamma carboxylation, hypusine formation and arylsulfatase activation","Metabolism of proteins"
"1384","Gamma-carboxylation, transport, and amino-terminal cleavage of proteins","Metabolism of proteins"
"1385","Gap junction trafficking","Vesicle-mediated transport"
"1386","Gap junction trafficking and regulation","Vesicle-mediated transport"
"1387","Gastrulation","Developmental Biology"
"1388","Gene Silencing by RNA","Gene expression (Transcription)"
"1389","Global Genome Nucleotide Excision Repair (GG-NER)","DNA Repair"
"1390","Glucose metabolism","Metabolism"
"1391","Glutamate binding, activation of AMPA receptors and synaptic plasticity","Neuronal System"
"1392","Glycogen metabolism","Metabolism"
"1393","Glycogen storage diseases","Metabolism"
"1394","Glycosaminoglycan metabolism","Metabolism of proteins"
"1395","Glycosphingolipid metabolism","Metabolism"
"1396","Golgi-to-ER retrograde transport","Vesicle-mediated transport"
"1397","GPCR downstream signalling","Signal Transduction"
"1398","GPCR ligand binding","Signal Transduction"
"1399","HCMV Infection","Disease"
"1400","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","DNA Repair"
"1401","Heparan sulfate/heparin (HS-GAG) metabolism","Metabolism"
"1402","Hh mutants abrogate ligand secretion","Disease"
"1403","HIV Infection","Disease"
"1404","HIV Life Cycle","Disease"
"1405","HIV Transcription Elongation","Disease"
"1406","Homology Directed Repair","DNA Repair"
"1407","Host Interactions of HIV factors","Disease"
"1408","Hyaluronan uptake and degradation","Metabolism"
"1409","IGF1R signaling cascade","Signal Transduction"
"1410","Incretin synthesis, secretion, and inactivation","Metabolism of proteins"
"1411","Infection with Mycobacterium tuberculosis","Disease"
"1412","Infectious disease","Disease"
"1413","Inflammasomes","Immune System"
"1414","Influenza Viral RNA Transcription and Replication","Disease"
"1415","Innate Immune System","Immune System"
"1416","Inositol phosphate metabolism","Metabolism"
"1417","Integration of energy metabolism","Metabolism"
"1418","Interactions of Rev with host cellular proteins","Disease"
"1419","Interactions of Vpr with host cellular proteins","Disease"
"1420","Interferon Signaling","Immune System"
"1421","Interleukin-1 family signaling","Immune System"
"1422","Interleukin-12 family signaling","Immune System"
"1423","Interleukin-6 family signaling","Immune System"
"1424","Intra-Golgi and retrograde Golgi-to-ER traffic","Vesicle-mediated transport"
"1425","Intracellular signaling by second messengers","Immune System"
"1426","Intrinsic Pathway for Apoptosis","Programmed Cell Death"
"1427","Inwardly rectifying K+ channels","Neuronal System"
"1428","Ionotropic activity of kainate receptors","Neuronal System"
"1429","Keratan sulfate/keratin metabolism","Metabolism"
"1430","Ketone body metabolism","Metabolism"
"1431","Killing mechanisms","Programmed Cell Death"
"1432","Lagging Strand Synthesis","Cell Cycle"
"1433","Late Phase of HIV Life Cycle","Disease"
"1434","Late SARS-CoV-2 Infection Events","Disease"
