Gene,List_Name,Cluster,List_Name_2,Group
HS-GAG biosynthesis,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Activation of NMDA receptors and postsynaptic events,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Interleukin-6 signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
"Inactivation, recovery and regulation of the phototransduction cascade",ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signaling by FGFR in disease,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Mitotic Prophase,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signaling by FLT3 fusion proteins,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
PKMTs methylate histone lysines,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
SARS-CoV-2 targets host intracellular signalling and regulatory pathways,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
EGFR downregulation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Amyloid fiber formation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Cytosolic sulfonation of small molecules,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
MHC class II antigen presentation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Nef mediated downregulation of MHC class I complex cell surface expression,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Apoptotic execution phase,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Activation of NF-kappaB in B cells,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Integrin cell surface interactions,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signaling by FGFR1 in disease,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Regulation of RUNX2 expression and activity,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signal attenuation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signaling by FLT3 ITD and TKD mutants,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
NRAGE signals death through JNK,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Beta defensins,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Listeria monocytogenes entry into host cells,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Metabolism of steroids,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Interleukin-2 family signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Interleukin receptor SHC signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Cell surface interactions at the vascular wall,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signaling by NOTCH3,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
O-linked glycosylation of mucins,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
CD28 dependent Vav1 pathway,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Downstream signaling of activated FGFR4,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
SUMOylation of transcription factors,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Prefoldin mediated transfer of substrate  to CCT/TriC,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Cellular Senescence,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Dopamine Neurotransmitter Release Cycle,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Tie2 Signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
G alpha (q) signalling events,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
SUMOylation of DNA damage response and repair proteins,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Sialic acid metabolism,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Establishment of Sister Chromatid Cohesion,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Ub-specific processing proteases,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Activation of RAC1,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Negative regulation of NOTCH4 signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Gastrulation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Germ layer formation at gastrulation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Downstream signaling of activated FGFR2,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Acyl chain remodelling of PC,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
RHOB GTPase cycle,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
RHOU GTPase cycle,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Transport of organic anions,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Transport of inorganic cations/anions and amino acids/oligopeptides,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Defective EXT2 causes exostoses 2,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
The phototransduction cascade,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Peptide ligand-binding receptors,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Syndecan interactions,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Cyclin D associated events in G1,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
G1 Phase,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Acyl chain remodelling of PG,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Visual phototransduction,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Activation of BAD and translocation to mitochondria ,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Prolactin receptor signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
N-glycan antennae elongation in the medial/trans-Golgi,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
SUMOylation of immune response proteins,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Association of TriC/CCT with target proteins during biosynthesis,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
TGF-beta receptor signaling activates SMADs,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
p38MAPK events,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
RAF-independent MAPK1/3 activation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
RHO GTPases activate PAKs,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Gap junction trafficking and regulation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Downstream signaling of activated FGFR3,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
STAT3 nuclear events downstream of ALK signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Death Receptor Signalling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Acyl chain remodelling of PI,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Downstream signal transduction,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Defects in vitamin and cofactor metabolism,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Downstream signaling of activated FGFR1,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Negative regulation of MET activity,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Cargo recognition for clathrin-mediated endocytosis,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Gastrin-CREB signalling pathway via PKC and MAPK,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Infection with Mycobacterium tuberculosis,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Protein methylation,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Transcriptional regulation by RUNX1,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Downregulation of ERBB2:ERBB3 signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Extra-nuclear estrogen signaling,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signal transduction by L1,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Signaling by NOTCH4,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
"Cell Cycle, Mitotic",ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Programmed Cell Death,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Biotin transport and metabolism,ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",ASPP_vs_ASNP,CD14-active,HIV+AS+ vs HIV+AS-,CD14-active HIV+AS+ vs HIV+AS-
Nucleotide salvage,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Nucleotide catabolism,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Pyrimidine salvage,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Cytokine Signaling in Immune system,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Pyrimidine catabolism,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
The role of Nef in HIV-1 replication and disease pathogenesis,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interferon gamma signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Dectin-2 family,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Role of LAT2/NTAL/LAB on calcium mobilization,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interferon alpha/beta signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interferon Signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
GPVI-mediated activation cascade,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
CASP8 activity is inhibited,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Dimerization of procaspase-8,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Regulation by c-FLIP,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Growth hormone receptor signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Nef mediated downregulation of MHC class I complex cell surface expression,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by SCF-KIT,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FCERI mediated MAPK activation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Caspase activation via extrinsic apoptotic signalling pathway,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Caspase activation via Death Receptors in the presence of ligand,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by KIT in disease,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
DAP12 interactions,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
mRNA Editing,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-2 family signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signal regulatory protein family interactions,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Regulation of IFNG signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Regulation of KIT signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Platelet Adhesion to exposed collagen,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FCGR activation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
DAP12 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Transcriptional regulation of granulopoiesis,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-20 family signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Erythropoietin activates RAS,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Response to metal ions,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Costimulation by the CD28 family,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FCERI mediated Ca+2 mobilization,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Metallothioneins bind metals,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by cytosolic FGFR1 fusion mutants,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-27 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by PDGFRA extracellular domain mutants,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Endosomal/Vacuolar pathway,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
TRAF6 mediated IRF7 activation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by FGFR1 in disease,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by PDGFR in disease,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-6 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-35 Signalling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-37 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-15 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin-6 family signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Regulation of IFNA/IFNB signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by FLT3 fusion proteins,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
IL-6-type cytokine receptor ligand interactions,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by Erythropoietin,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
NS1 Mediated Effects on Host Pathways,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
STAT5 activation downstream of FLT3 ITD mutants,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by FLT3 ITD and TKD mutants,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by Leptin,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
TRAF3-dependent IRF activation pathway,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Attachment and Entry,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FGFR1 mutant receptor activation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
CD28 co-stimulation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR1,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR4,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Prolactin receptor signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
MHC class II antigen presentation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR2,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FRS-mediated FGFR4 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Maturation of nucleoprotein,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Acetylcholine regulates insulin secretion,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FRS-mediated FGFR3 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FRS-mediated FGFR1 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Interleukin receptor SHC signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
SHC1 events in ERBB4 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
MET activates RAS signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
SHC1 events in EGFR signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
MAPK3 (ERK1) activation,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Signaling by NTRK3 (TRKC),ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR3,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
GRB2 events in EGFR signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Activated NTRK2 signals through FRS2 and FRS3,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
FRS-mediated FGFR2 signaling,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Nicotinamide salvaging,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
Antiviral mechanism by IFN-stimulated genes,ASNP_vs_ASNN,CD16,HIV+AS- vs HIV-AS-,CD16 HIV+AS- vs HIV-AS-
